               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052423,            0.023742,            0.037454,             0.46891,             0.92498,             0.60339,             0.32129,            0.028139,            0.013789,             0.02667,           0.0010888,           0.0010888,            0.090089
                  37,            0.050281,            0.025746,            0.037028,             0.48553,                 0.9,             0.63072,             0.36026,            0.028299,            0.013272,            0.026353,           0.0011178,           0.0011178,            0.089818
                  38,            0.048041,            0.023298,            0.036604,             0.48831,             0.91385,             0.64008,             0.37475,             0.02723,            0.013156,            0.026201,           0.0011468,           0.0011468,            0.089547
                  39,            0.049047,            0.022318,            0.036255,             0.51833,              0.9241,             0.65281,             0.36318,            0.024628,             0.01307,            0.025933,           0.0011758,           0.0011758,            0.089276
                  40,            0.046388,            0.018957,            0.035371,             0.52212,                0.95,             0.67115,             0.35751,            0.028179,            0.012608,            0.025651,           0.0012047,           0.0012047,            0.089005
                  41,            0.050054,            0.021602,             0.03553,             0.54297,             0.99948,             0.72117,             0.45884,            0.025143,            0.012429,            0.025232,           0.0012335,           0.0012335,            0.088734
                  42,            0.051295,            0.017927,            0.034267,             0.53684,             0.94798,             0.73932,             0.45902,            0.028685,            0.012262,             0.02493,           0.0012623,           0.0012623,            0.088462
                  43,            0.047824,            0.019495,            0.034576,             0.57142,             0.84282,             0.71796,              0.4627,            0.023323,            0.012443,            0.024813,            0.001291,            0.001291,            0.088191
                  44,            0.042536,            0.020446,            0.032657,              0.5877,               0.875,             0.69279,             0.44631,            0.023487,            0.012167,             0.02459,           0.0013196,           0.0013196,             0.08792
                  45,            0.044017,            0.017406,            0.033113,             0.68564,             0.84381,             0.72209,             0.42721,            0.022294,             0.01193,            0.024391,           0.0013482,           0.0013482,            0.087648
                  46,            0.045207,            0.018649,            0.033443,             0.65701,                 0.9,             0.72921,             0.36752,            0.028502,            0.011315,            0.024179,           0.0013768,           0.0013768,            0.087377
                  47,            0.045011,            0.019515,            0.032859,              0.7129,             0.89563,              0.7606,             0.35307,            0.025498,            0.011668,            0.023958,           0.0014052,           0.0014052,            0.087105
                  48,            0.047126,            0.021004,             0.03245,             0.68106,             0.89889,              0.7789,             0.43124,            0.024269,            0.011065,            0.023697,           0.0014336,           0.0014336,            0.086834
                  49,            0.048968,            0.018233,            0.032852,             0.69519,                 0.9,             0.77862,             0.46903,            0.024022,            0.011045,            0.023587,            0.001462,            0.001462,            0.086562
                  50,            0.046845,            0.020039,            0.032707,             0.63855,             0.97242,             0.77825,             0.39059,            0.025233,            0.010816,            0.023551,           0.0014902,           0.0014902,             0.08629
                  51,             0.04731,            0.017008,            0.032798,             0.50136,               0.775,              0.6238,             0.11609,            0.031382,            0.010802,            0.023252,           0.0015184,           0.0015184,            0.086018
                  52,            0.045684,            0.018224,            0.032834,             0.54187,               0.974,              0.7554,             0.41872,            0.026838,            0.010412,            0.023264,           0.0015466,           0.0015466,            0.085747
                  53,             0.04721,            0.017079,            0.032581,              0.5616,               0.975,             0.77829,             0.26357,            0.021208,             0.01072,             0.02301,           0.0015746,           0.0015746,            0.085475
                  54,            0.047432,            0.017843,             0.03217,             0.61615,                0.95,              0.8066,             0.30833,            0.024862,            0.010463,            0.022776,           0.0016026,           0.0016026,            0.085203
                  55,            0.048467,            0.019669,            0.030977,             0.60973,               0.925,             0.78671,             0.19003,            0.027392,           0.0098807,            0.022631,           0.0016305,           0.0016305,            0.084931
                  56,            0.044817,            0.019339,            0.031611,             0.16772,             0.96928,             0.27242,            0.078488,            0.040448,           0.0099526,            0.022607,           0.0016583,           0.0016583,            0.084658
                  57,            0.060688,            0.016782,             0.03138,             0.54885,             0.97053,             0.78106,             0.42266,            0.026041,            0.010099,             0.02266,           0.0016861,           0.0016861,            0.084386
                  58,            0.048127,            0.014969,            0.030536,             0.38541,             0.62334,             0.45845,            0.083385,            0.034929,           0.0096543,            0.022651,           0.0017138,           0.0017138,            0.084114
                  59,            0.057736,            0.016191,            0.031482,             0.53387,             0.54806,             0.51806,             0.14369,            0.039723,           0.0095545,            0.022594,           0.0017414,           0.0017414,            0.083841
                  60,            0.062067,            0.017711,            0.031033,             0.49109,                0.95,             0.77209,             0.29825,            0.030344,           0.0097956,            0.022565,           0.0017689,           0.0017689,            0.083569
                  61,            0.054218,            0.016209,            0.032682,             0.45805,              0.6881,              0.6595,             0.34314,            0.039502,           0.0091975,            0.022605,           0.0017963,           0.0017963,            0.083296
                  62,            0.058752,            0.014351,             0.03204,             0.42269,               0.725,             0.63537,             0.31833,             0.03743,           0.0094605,            0.022431,           0.0018237,           0.0018237,            0.083024
