               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12114,            0.014458,            0.075248,            0.038195,                0.05,            0.007895,           0.0012122,            0.079863,           0.0095877,            0.050548,               2e-05,               2e-05,             0.09982
                   1,               0.118,            0.016689,            0.074568,             0.57083,               0.025,           0.0051523,          0.00093378,            0.078254,           0.0099647,            0.050378,               5e-05,               5e-05,             0.09955
                   2,             0.11455,            0.017524,            0.074717,            0.023661,               0.075,           0.0062166,           0.0010842,            0.076358,            0.010392,             0.05013,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.11397,            0.017243,            0.073144,              0.5337,               0.025,            0.004705,          0.00077065,            0.074287,             0.01087,            0.049841,          0.00010999,          0.00010999,             0.09901
                   4,             0.11112,            0.018571,            0.072883,            0.019042,               0.075,           0.0050788,          0.00088969,            0.072363,            0.011304,            0.049512,          0.00013998,          0.00013998,             0.09874
                   5,             0.10951,            0.016117,            0.070428,            0.031203,                0.05,           0.0041908,          0.00071672,            0.070185,            0.011805,            0.049102,          0.00016997,          0.00016997,             0.09847
                   6,             0.10383,             0.01954,            0.070918,             0.03139,                0.05,           0.0050378,           0.0008085,            0.068068,              0.0123,            0.048676,          0.00019994,          0.00019994,              0.0982
                   7,             0.10046,             0.01975,            0.069018,            0.024887,                0.05,           0.0045909,          0.00066896,            0.066195,            0.012738,            0.048227,          0.00022991,          0.00022991,             0.09793
                   8,            0.095975,            0.021972,            0.068923,            0.032725,               0.075,           0.0072777,          0.00083876,            0.064425,            0.013156,            0.047817,          0.00025987,          0.00025987,             0.09766
                   9,            0.092121,            0.022523,            0.068612,             0.52907,               0.025,           0.0030096,          0.00045563,            0.062683,            0.013529,            0.047335,          0.00028981,          0.00028981,             0.09739
                  10,             0.08894,            0.020044,            0.066456,             0.52029,               0.025,           0.0029696,          0.00059207,            0.059515,             0.01423,            0.046761,          0.00031975,          0.00031975,             0.09712
